Player,Pos,Team,Opp,Def v Pos,Salary,Floor,Ceiling,2015 Avg,FC Proj,My Proj,Exposure,Consistency,Value,Actual Score,Actual Val
David Johnson,RB,ARI,@ MIA,30th,9800,19.8,51.3,13.7,30.26,30.26,100,63,3.1,18.1,1.8
Le'Veon Bell,RB,PIT,@ BUF,32nd,9000,19.2,50.4,20,29.64,29.64,100,60,3.3,54.8,6.1
Mike Evans,WR,TB,vs NO,27th,8900,12.7,41.8,15.1,22.36,22.36,100,55,2.5,8.2,0.9
Antonio Brown,WR,PIT,@ BUF,31st,8700,12,46.8,26.1,23.59,23.59,100,49,2.7,12.8,1.5
Julio Jones,WR,ATL,@ LA,19th,8500,3.4,36.1,24.8,14.32,14.32,100,47,1.7,,
Ezekiel Elliott,RB,DAL,@ NYG,18th,8400,5.8,34.6,,23.05,23.05,100,0,2.7,13.7,1.6
LeSean McCoy,RB,BUF,vs PIT,5th,8200,11,30.8,15.8,17.56,17.56,100,69,2.1,22.8,2.8
Odell Beckham Jr.,WR,NYG,vs DAL,25th,8000,8.6,42.8,22.9,19.97,19.97,100,41,2.5,19.4,2.4
Amari Cooper,WR,OAK,@ KC,30th,7500,6.9,36.6,14.3,16.82,16.82,100,42,2.2,7.9,1.1
T.Y. Hilton,WR,IND,vs HOU,23rd,7500,6.5,36.2,13.6,16.42,16.42,100,46,2.2,29.5,3.9
Melvin Gordon,RB,SD,@ CAR,4th,7400,13.9,25,8,17.59,17.59,100,83,2.4,0.5,0.1
Drew Brees,QB,NO,@ TB,19th,7400,15.4,40,23.1,23.58,23.58,100,67,3.2,7.48,1
Cam Newton,QB,CAR,vs SD,15th,7200,9.2,38.6,25.9,18.98,18.98,100,51,2.6,12.5,1.7
Larry Fitzgerald,WR,ARI,@ MIA,22nd,7100,6.6,36,18.2,16.44,16.44,100,44,2.3,4.2,0.6
Tom Brady,QB,NE,vs BAL,16th,7100,14.6,41.6,23.4,23.6,23.6,100,63,3.3,30.14,4.2
Brandon Marshall,WR,NYJ,@ SF,28th,7000,5.6,34.6,23.2,15.25,15.25,100,22,2.2,6.3,0.9
Ben Roethlisberger,QB,PIT,@ BUF,29th,7000,7.4,38,22.3,17.55,17.55,100,53,2.5,5.6,0.8
DeMarco Murray,RB,TEN,vs DEN,6th,7000,8.6,36.5,12.6,17.86,17.86,100,58,2.6,15.2,2.2
Dez Bryant,WR,DAL,@ NYG,21st,6900,6.4,35.5,10.2,16.07,16.07,100,40,2.3,1,0.1
Andrew Luck,QB,IND,vs HOU,26th,6900,8.8,35.2,21.4,17.58,17.58,100,62,2.5,19.24,2.8
Matthew Stafford,QB,DET,vs CHI,2nd,6800,10.4,34.7,19.7,18.52,18.52,100,59,2.7,18.42,2.7
Matt Forte,RB,NYJ,@ SF,31st,6800,9,35.1,16.8,17.68,17.68,100,44,2.6,0.8,0.1
Jordy Nelson,WR,GB,vs SEA,5th,6800,5.2,38.5,,16.26,16.26,100,41,2.4,22.1,3.3
Doug Baldwin,WR,SEA,@ GB,9th,6800,5.3,33.2,17.4,14.58,14.58,100,42,2.1,10.6,1.6
Julian Edelman,WR,NE,vs BAL,17th,6800,7.6,30.7,19.6,15.33,15.33,100,43,2.3,14.3,2.1
Michael Thomas,WR,NO,@ TB,18th,6700,3.6,21.6,,14.43,14.43,100,0,2.2,,
Jameis Winston,QB,TB,vs NO,32nd,6700,16.5,28.8,18.6,20.65,20.65,100,79,3.1,8.96,1.3
Philip Rivers,QB,SD,@ CAR,5th,6600,8.5,34.2,20.2,17.05,17.05,100,56,2.6,12.44,1.9
Golden Tate,WR,DET,vs CHI,1st,6600,5.9,29,13.2,13.58,13.58,100,44,2.1,11.7,1.8
Russell Wilson,QB,SEA,@ GB,7th,6600,10.6,36.6,21.9,19.25,19.25,100,50,2.9,10.5,1.6
Stefon Diggs,WR,MIN,@ JAC,2nd,6500,7.7,31.4,11.9,15.57,15.57,100,56,2.4,8.5,1.3
Matt Ryan,QB,ATL,@ LA,21st,6500,11.3,30.8,16.9,17.83,17.83,100,72,2.7,21.48,3.3
Brandin Cooks,WR,NO,@ TB,18th,6400,6.3,31.5,16.6,14.68,14.68,100,50,2.3,11.1,1.7
Aaron Rodgers,QB,GB,vs SEA,3rd,6400,9.6,35.4,20.1,18.22,18.22,100,65,2.8,21.24,3.3
Jordan Howard,RB,CHI,@ DET,10th,6400,3.6,21.5,,14.35,14.35,100,0,2.2,13,2
Derek Carr,QB,OAK,@ KC,30th,6400,8.7,32.4,19.1,16.6,16.6,100,62,2.6,4.98,0.8
Donte Moncrief,WR,IND,vs HOU,23rd,6300,3.2,29.3,11.2,11.9,11.9,100,34,1.9,0,
Kirk Cousins,QB,WAS,@ PHI,31st,6300,7.7,36.2,20.5,17.17,17.17,100,56,2.7,16.96,2.7
Spencer Ware,RB,KC,vs OAK,24th,6300,9.9,30.9,10.9,16.94,16.94,100,55,2.7,7.3,1.2
Marcus Mariota,QB,TEN,vs DEN,1st,6200,4.5,37.8,19.7,15.56,15.56,100,48,2.5,7.32,1.2
Doug Martin,RB,TB,vs NO,13th,6200,5.1,31.2,15.6,13.77,13.77,100,21,2.2,16.5,2.7
Kelvin Benjamin,WR,CAR,vs SD,20th,6200,6,30.9,,14.26,14.26,100,37,2.3,2.1,0.3
Michael Crabtree,WR,OAK,@ KC,30th,6200,6.5,29,15,13.99,13.99,100,55,2.3,6.1,1
Tyrell Williams,WR,SD,@ CAR,10th,6100,3.5,20.7,8.5,13.83,13.83,100,0,2.3,8.8,1.4
Devonta Freeman,RB,ATL,@ LA,20th,6100,2.8,38.8,22.1,14.81,14.81,100,29,2.4,3.8,0.6
Andy Dalton,QB,CIN,@ CLE,17th,6100,9.6,34.5,20.4,17.86,17.86,100,56,2.9,16.9,2.8
Tyler Eifert,TE,CIN,@ CLE,24th,6000,3.6,31.6,15,12.95,12.95,100,28,2.2,21.8,3.6
Demaryius Thomas,WR,DEN,@ TEN,26th,6000,5.8,34.6,17.6,15.41,15.41,100,36,2.6,25.6,4.3
Dak Prescott,QB,DAL,@ NYG,20th,5900,4.5,26.7,,17.82,17.82,100,0,3,8.7,1.5
Terrelle Pryor,WR,CLE,vs CIN,7th,5900,3.6,21.6,2.6,14.39,14.39,100,0,2.4,1.3,0.2
Jay Ajayi,RB,MIA,vs ARI,29th,5900,11.2,21.7,4.7,14.67,14.67,100,78,2.5,7.3,1.2
Jordan Reed,TE,WAS,@ PHI,4th,5900,3.2,32.6,18,12.96,12.96,100,42,2.2,2,0.3
Jeremy Hill,RB,CIN,@ CLE,23rd,5800,10.2,33.3,10.8,17.92,17.92,100,35,3.1,26.2,4.5
DeAndre Hopkins,WR,HOU,@ IND,24th,5800,4.4,35.6,21.8,14.75,14.75,100,18,2.5,5.3,0.9
Colin Kaepernick,QB,SF,vs NYJ,18th,5800,8.5,32.8,13.6,16.56,16.56,100,61,2.9,11.62,2
Travis Kelce,TE,KC,vs OAK,5th,5700,7,25.6,12.2,13.23,13.23,100,58,2.3,18.1,3.2
Carson Palmer,QB,ARI,@ MIA,24th,5700,9.4,28.9,21.8,15.92,15.92,100,65,2.8,13.3,2.3
Emmanuel Sanders,WR,DEN,@ TEN,26th,5700,6.2,35.3,15.9,15.89,15.89,100,35,2.8,30,5.3
Thomas Rawls,RB,SEA,@ GB,8th,5700,1,39.1,11.7,13.67,13.67,100,0,2.4,8.4,1.5
Joe Flacco,QB,BAL,@ NE,6th,5600,6.3,28.8,19.1,13.83,13.83,100,57,2.5,23.06,4.1
Jarvis Landry,WR,MIA,vs ARI,29th,5600,5,27.5,17.8,12.51,12.51,100,49,2.2,16.3,2.9
Jamison Crowder,WR,WAS,@ PHI,32nd,5600,5.5,25,8.6,12.01,12.01,100,59,2.1,5.7,1
Jacquizz Rodgers,RB,TB,vs NO,13th,5600,2,11.6,1.2,5.17,5.17,100,69,0.9,0,
DeAngelo Williams,RB,PIT,@ BUF,32nd,5600,0,27.6,15.4,3.64,3.64,100,0,0.7,,
Eli Manning,QB,NYG,vs DAL,27th,5500,7.7,33.8,20.2,16.41,16.41,100,49,3,8.52,1.5
Steve Smith Sr.,WR,BAL,@ NE,4th,5500,2.2,34.6,20,12.98,12.98,100,21,2.4,9.7,1.8
Jimmy Graham,TE,SEA,@ GB,10th,5500,4.9,31.3,11.2,13.68,13.68,100,38,2.5,2.6,0.5
Davante Adams,WR,GB,vs SEA,5th,5500,4.8,24.6,8.2,11.36,11.36,100,59,2.1,23.4,4.3
Jordan Matthews,WR,PHI,vs WAS,16th,5400,5.2,34.3,15.2,14.95,14.95,100,27,2.8,15.9,2.9
Alex Smith,QB,KC,vs OAK,9th,5400,12.7,27.1,17.6,17.47,17.47,100,68,3.2,14.16,2.6
Jonathan Stewart,RB,CAR,vs SD,21st,5400,6.2,25.4,13.1,12.63,12.63,100,43,2.3,12.6,2.3
Tyrod Taylor,QB,BUF,vs PIT,13th,5400,8.7,33,19.9,16.77,16.77,100,55,3.1,16.32,3
Mark Ingram,RB,NO,@ TB,16th,5300,7.3,25,17.3,13.21,13.21,100,62,2.5,3.3,0.6
Sammy Watkins,WR,BUF,vs PIT,13th,5300,1,34,18,11.98,11.98,100,0,2.3,15.4,2.9
DeVante Parker,WR,MIA,vs ARI,29th,5300,4.4,26,12.1,11.57,11.57,100,37,2.2,3.4,0.6
Brock Osweiler,QB,HOU,@ IND,22nd,5300,6.2,32,15.8,14.81,14.81,100,36,2.8,4.68,0.9
LeGarrette Blount,RB,NE,vs BAL,3rd,5300,1.2,28.8,10.5,10.43,10.43,100,43,2,14.9,2.8
Willie Snead,WR,NO,@ TB,18th,5200,5.6,26.3,12.7,12.5,12.5,100,49,2.4,14.5,2.8
Derrick Henry,RB,TEN,vs DEN,6th,5200,1.4,8.3,,5.53,5.53,100,0,1.1,5.7,1.1
Latavius Murray,RB,OAK,@ KC,25th,5200,6.9,28.5,13.2,14.13,14.13,100,59,2.7,19.3,3.7
Ryan Tannehill,QB,MIA,vs ARI,11th,5200,7.1,25.7,18.2,13.3,13.3,100,61,2.6,19.8,3.8
Kenny Britt,WR,LA,vs ATL,11th,5200,6.3,25.8,7.8,12.78,12.78,100,56,2.5,15.2,2.9
Cole Beasley,WR,DAL,@ NYG,21st,5200,4.5,26.4,8.5,11.76,11.76,100,44,2.3,8.1,1.6
DeSean Jackson,WR,WAS,@ PHI,32nd,5200,2.6,30.2,12.1,11.78,11.78,100,21,2.3,22.2,4.3
Sam Bradford,QB,MIN,@ JAC,4th,5100,7.7,24.2,16.2,13.23,13.23,100,62,2.6,17.38,3.4
Trevor Siemian,QB,DEN,@ TEN,28th,5100,3.3,20,-0.1,13.32,13.32,100,0,2.6,20.36,4
Jeremy Maclin,WR,KC,vs OAK,14th,5100,0,30.8,16.9,9.79,9.79,100,0,1.9,2.6,0.5
Carson Wentz,QB,PHI,vs WAS,8th,5100,3.8,23,,15.33,15.33,100,0,3,18.06,3.5
Lamar Miller,RB,HOU,@ IND,9th,5100,5.8,31.9,15.1,14.48,14.48,100,37,2.8,22.2,4.4
Rishard Matthews,WR,TEN,vs DEN,3rd,5100,2.9,26.9,12.7,10.93,10.93,100,40,2.1,3.6,0.7
Jared Goff,QB,LA,vs ATL,23rd,5000,3.2,19.5,,12.99,12.99,100,0,2.6,12.6,2.5
Robert Griffin III,QB,CLE,vs CIN,14th,5000,4.1,25.7,,11.33,11.33,100,30,2.3,12.26,2.5
Greg Olsen,TE,CAR,vs SD,8th,5000,7.5,32.4,14.8,15.79,15.79,100,41,3.2,12.7,2.5
Brandon LaFell,WR,CIN,@ CLE,15th,5000,3.7,26.8,8.4,11.44,11.44,100,27,2.3,5.2,1
Blake Bortles,QB,JAC,vs MIN,12th,5000,5.6,30.2,22.3,13.81,13.81,100,58,2.8,15.58,3.1
Tyreek Hill,WR,KC,vs OAK,14th,5000,2.6,15.5,,10.33,10.33,100,0,2.1,23.8,4.8
Bilal Powell,RB,NYJ,@ SF,31st,5000,2.8,23.8,12.3,9.82,9.82,100,20,2,37.9,7.6
Allen Robinson,WR,JAC,vs MIN,12th,5000,3.9,32.7,20.1,13.48,13.48,100,28,2.7,2.7,0.5
Bryce Petty,QB,NYJ,@ SF,25th,5000,2.3,13.6,,9.06,9.06,100,0,1.8,13.18,2.6
Matt Barkley,QB,CHI,@ DET,10th,5000,3.2,19.3,,12.88,12.88,100,0,2.6,12.48,2.5
Todd Gurley,RB,LA,vs ATL,22nd,5000,4.9,34,17.3,14.61,14.61,100,21,2.9,17.3,3.5
Randall Cobb,WR,GB,vs SEA,5th,5000,2.8,27.7,12.9,11.09,11.09,100,37,2.2,6.3,1.3
Marvin Jones,WR,DET,vs CHI,1st,4900,6.3,23.4,10.9,12,12,100,57,2.4,10.7,2.2
Tyler Boyd,WR,CIN,@ CLE,15th,4900,3.3,19.6,,13.07,13.07,100,0,2.7,14.9,3
Zach Ertz,TE,PHI,vs WAS,7th,4900,2.6,24.8,11.8,10.04,10.04,100,29,2,24.2,4.9
Mike Wallace,WR,BAL,@ NE,4th,4900,3.7,24.4,6.6,10.62,10.62,100,53,2.2,10.2,2.1
Rashad Jennings,RB,NYG,vs DAL,14th,4900,3.8,26,10.8,11.25,11.25,100,37,2.3,7.7,1.6
Quincy Enunwa,WR,NYJ,@ SF,28th,4900,7.5,16.8,4.9,10.61,10.61,100,73,2.2,5.9,1.2
Charcandrick West,RB,KC,vs OAK,24th,4900,0,22.4,10.5,4.43,4.43,100,0,0.9,6.4,1.3
Alfred Morris,RB,DAL,@ NYG,18th,4900,0,16.6,6.4,3.62,3.62,100,0,0.7,0,
Carlos Hyde,RB,SF,vs NYJ,27th,4900,5.1,26.7,12,12.31,12.31,100,52,2.5,30,6.1
Devontae Booker,RB,DEN,@ TEN,19th,4800,3,18.2,,12.1,12.1,100,0,2.5,3.1,0.6
Frank Gore,RB,IND,vs HOU,7th,4800,6.4,27.1,12.3,13.33,13.33,100,51,2.8,15.4,3.2
Dontrelle Inman,WR,SD,@ CAR,10th,4800,3.8,22.4,8.4,10.02,10.02,100,39,2.1,19.1,4
Adam Thielen,WR,MIN,@ JAC,2nd,4700,3.6,18.3,3.9,8.52,8.52,100,58,1.8,17.1,3.6
Sterling Shepard,WR,NYG,vs DAL,25th,4600,3.1,18.6,,12.41,12.41,100,0,2.7,6.9,1.5
Mike Gillislee,RB,BUF,vs PIT,5th,4600,0,17.6,10.5,4.8,4.8,100,23,1,3.4,0.7
